text_extract;highlight_color
"Service Providers must implement effective measures to prevent minor users from becoming addicted to such services";green
"Service Providers who offer "deep synthesis" (or "deep fake") services must label any visuals or videos to alert the public about their non-human authored nature. Service Providers must also ensure that their service is safe, stable and continuous";green
"Service Providers must immediately suspend and terminate the generation or transmission of any illegal content and services. In addition, if any users are found to be using the services for illegal activities, Service Providers must take actions to suspend services, issue warnings and report the case to relevant authorities";green
"Uphold the core socialist values and not generate content that may harm national security or that is forbidden by laws or regulations";green
"Adopt effective measures to prevent the content from discriminating on any basis";green
"Respect Intellectual Property rights and commercial ethics";green
"Respect the lawful rights of others, and not infringe on their well-being and interests";green
"Undertake strict and effective measures to increase the transparency, accuracy and reliability of their services";green
"Pre-training and optimization training. Service Providers must only use data that has been "legally acquired" for model training";green
"Personal information collection. Service Providers must not collect unnecessary personal information, store input information or usage records in a way that can identify the personal details of users, or provide such information or records to third parties";green
"Compliant channels. Service Providers must establish a mechanism for receiving and handling user complaints. In addition, they must also respond to any user's request for reviewing, copying, correcting, supplementing and deleting their personal information in a timely manner";green
"Security assessment and algorithm filing of certain services. If any service possesses public opinion attributes or have capacity for "social mobilisation", the Service Provider must conduct a security assessment, and comply with the filing/alteration/cancellation-related requirements set out in the Algorithm Measures";green
"The security assessment can be conducted either by the Service Provider or through a third party, and must be filed with the local branches of the CAC and China's Public Security Bureau. Such filing of an algorithm must be completed within ten working days of providing relevant services";green
"Service Agreement and identity information. A service agreement must be executed between the Service Provider and the users who register for its services";green
"If any service possesses public opinion attributes or have capacity for "social mobilisation", the Service Provider must conduct a security assessment, and comply with the filing/alteration/cancellation-related requirements set out in the Algorithm Measures";green
"Article 19 requires Service Providers to provide information on the training data's sources, models, types, tagging rules and algorithm mechanisms to relevant government departments";green
"The Interim Measures relax some of the requirements set out in the Draft Measures, reflecting the China government's intention to encourage development of generative AI service – while at the same time setting out obligations regarding content management, protection and security of personal data, and transparency of generative AI within China";yellow
"With its promises of greater efficiencies and transformational capabilities, comes risks relating to data privacy, misinformation, biased or inaccurate answers, and lack of transparency on how decisions affecting people's livelihoos are being made";yellow
"Different jurisdictions are diverging in how they regulate AI – with varying views regarding the level of risk that AI poses, what needs to be regulated and restricted, and the role of government regulations versus voluntary commitments";yellow
"China has been particularly proactive (by global standards) in developing a regulatory framework of AI – with the aim of balancing fostering innovation versus maintaining control of the technology sector";yellow
"The Interim Measures regulate the provision of generative AI services in China and have been substantially amended from the Draft Measures to be more commercial, research and innovation-friendly, as well as recognising possible foreign investment in developing and providing generative AI services in China";yellow
"Generative AI Service Provider refers to an entity or individual that uses generative AI technologies to provide Generative AI Services, including providers of the underlying generative AI technologies and any person who provides applications on top of such technologies via APIs";red
"Generative AI Service User refers to an entity or individual that uses contents generated from the Generative AI Services";red
"The Draft Measures included a requirement to take measures within three months through model optimization training to prevent illegal content from being generated again – this has been removed from the Interim Measures";yellow
"The security assessment can be conducted either by the Service Provider or through a third party, and must be filed with the local branches of the CAC and China's Public Security Bureau";green
"There are still some questions to be answered. Notably, the Interim Measures also state that there may be further classified and graded regulations applicable to generative AI services";red
"Some of the aspects within the Interim Measures will likely be developed – such as copyright status/protection of any materials arising from generative AI, how and the extent to which algorithms are to be disclosed, and how phrases such as "support the public opinion or mobilize the public" will be interpreted";yellow
"The Interim Measures also represent a new addition to China's regulatory framework for data";red
