Question;Page;Extract
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;3;"Providing interpretable AI model metadata (for example, as factsheets) specifying accountable persons, performance benchmarks (compared to human), data and methods used, audit records (date and by whom), and audit purpose and results."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;4;"Always make clear to users when they are interfacing with an AI system."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;4;"Provide content grounding for AI models. Empower domain experts to curate and maintain trusted sources of data used to train models. Model output is based on the data it was trained on."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;4;"Capture key metadata to render AI models transparent and keep track of model inventory. Make sure that this metadata is interpretable and that the right information is exposed to the appropriate personnel."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;4;"Make this metadata easily findable by people (ultimately at the source of output)."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;4;"Include human-in-the-loop as AI should augment and assist humans. This allows humans to provide feedback as AI systems operate."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Limit user access to model development, but gather diverse perspectives at the onset of a project to mitigate introducing bias."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Perform privacy and security checks along the entire AI lifecycle."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Include measures of accuracy in regularly scheduled audits. Be unequivocally forthright about how model performance compares to a human being. If the model fails to provide an accurate result, detail who is accountable for that model and what recourse users have. (This should all be baked into the interpretable, findable metadata)."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"AI model investment does not stop at deployment. Dedicate resources to ensure models continue to behave as desired and expected. Assess and mitigate risk throughout the AI lifecycle, not just after deployment."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Designating an accountable party who has a funded mandate to do the work of governance. They must have power."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Invest in communication, community-building and education. Leverage tools such as watsonx.governance to monitor AI systems."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Capture and manage AI model inventory as described above."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;5;"Deploy cybersecurity measures across all models."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;2;"Detailing ethics practices throughout the AI lifecycle, corresponding to business (or mission) goals, data preparation and modeling, evaluation and deployment. The CRISP-DM model is useful here. IBM's Scaled Data Science Method, an extension of CRISP-DM, offers governance across the AI model lifecycle informed by collaborative input from data scientists, industrial-organizational psychologists, designers, communication specialists and others. The method merges best practices in data science, project management, design frameworks and AI governance. Teams can easily see and understand the requirements at each stage of the lifecycle, including documentation, who they need to talk to or collaborate with, and next steps."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;"Establishing a center of excellence to give diverse, multidisciplinary teams a community for applied training to identify potential disparate impact."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;"Using auditing tools to reflect the bias exhibited in models. If the reflection aligns with the values of the organization, transparency surrounding the chosen data and methods is key. If the reflection does not align with organizational values, then this is a signal that something must change. Discovering and mitigating potential disparate impact caused by bias involves far more than examining the data the model was trained on. Organizations must also examine people and processes involved. For example, have appropriate and inappropriate uses of the model been clearly communicated?"
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;"Measuring fairness and making equity standards actionable by providing functional and non-functional requirements for varying levels of service."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;"Using design thinking frameworks to assess unintended effects of AI models, determine the rights of the end users and operationalize principles. It's essential that design thinking exercises include people with widely varied lived experiences— the more diverse the better."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;4;"Create processes and frameworks to assess disparate impact and safety risks well before the model is deployed or procured. Designate accountable people to mitigate these risks."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;3;"Using auditing tools to reflect the bias exhibited in models. If the reflection aligns with the values of the organization, transparency surrounding the chosen data and methods is key. If the reflection does not align with organizational values, then this is a signal that something must change. Discovering and mitigating potential disparate impact caused by bias involves far more than examining the data the model was trained on. Organizations must also examine people and processes involved. For example, have appropriate and inappropriate uses of the model been clearly communicated?"
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;4;"Capture key metadata to render AI models transparent and keep track of model inventory. Make sure that this metadata is interpretable and that the right information is exposed to the appropriate personnel."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;5;"Include measures of accuracy in regularly scheduled audits. Be unequivocally forthright about how model performance compares to a human being. If the model fails to provide an accurate result, detail who is accountable for that model and what recourse users have. (This should all be baked into the interpretable, findable metadata)."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;5;"AI model investment does not stop at deployment. Dedicate resources to ensure models continue to behave as desired and expected. Assess and mitigate risk throughout the AI lifecycle, not just after deployment."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;5;"Invest in communication, community-building and education. Leverage tools such as watsonx.governance to monitor AI systems."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;5;"Capture and manage AI model inventory as described above."
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;5;"Deploy cybersecurity measures across all models."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the users, to maintain them safe and to protect their privacy.;4;"Always make clear to users when they are interfacing with an AI system."
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the users, to maintain them safe and to protect their privacy.;5;"Perform privacy and security checks along the entire AI lifecycle."
