Page;Extract;Confidence
21;"● A systematic procedure for documenting the component implementation procedure must exist and be implemented in order to guarantee registration and subsequent acquisition of all necessary information to identify such component, its elements and its environment, understanding what it does and why it does it, and enables to verify code quality and legibility for auditing purposes: description of the programming language(s) used, most recent code version, commented-out code, necessary packages and libraries, and interfaces with other components, when appropriate, used APIs and useful documents such as requirements specifications, functional and organic analyses, guidelines, etc.";High
29;"● A risk analysis must have been carried out with regard to the risks for rights and freedoms of persons, and the results of this risk analysis must allow to determine the security and privacy requirements of the AI-based component in the framework of this proceeding.";High
29;"● Those requirements related with data protection and security must have been defined at the origin and together with any other requirements, regardless of whether they are to be applied to the design of a new AI-based component or to the modification of an existing one.";High
29;"● Available standards and best practices for secure configuration and development of the relevant component have been applied.";High
29;"● The necessary measures to ensure protection of the processed data must have been implemented, particularly those oriented to guarantee confidentiality by means of data anonymisation or pseudonymisation, and integrity to protect component implementation from accidental or intentional manipulation.";High
29;"● Measures must have been implemented to guarantee component resilience and its capacity to withstand an attack";High
30;"● Appropriate procedures must have been implemented in order to monitor the functioning of the component and early detect any potential data leak, unauthorised access or other security breaches.";High
30;"● Component users and operators must have sufficient information and must be aware of their security duties and responsibilities regarding data protection and safeguarding data subjects' rights and freedoms.";High
28;"● There must be a version control system in place for all elements of the AI-based component: used datasets, AI-based component code, libraries used and any other element associated with the component.";High
28;"● There is a formal and documented procedure, subject to reassessment as appropriate, of risk assessment depending on such changes that may occur on the implementation of the AI-based component throughout its life cycle.";High
28;"● Appropriate monitoring and supervision mechanisms must have been implemented for the AI-based component, such as log files and results records, which enable to assess the behaviour of the component in interaction with environment";High
28;"● There must be a record of incidences and previous abnormal behaviours detected and remedied.";High
28;"● Monitoring mechanisms must be available for human operators for monitoring and verification purposes.";High
22;"● Data cleaning techniques and best practices used in the data cleansing process must be well grounded and documented.";Medium
23;"● Data minimisation criteria must have been determined and applied to the different stages of the AI component, using strategies such as data hiding, separation, abstraction, anonymisation and pseudonymisation as may apply for the purposes of maximising privacy in the operation of the relevant AI-based component.";High
23;"● Used databases must have an associated data dictionary that enables their analysis and understanding.";Medium
23;"● Data selection and assessment must have been carried out with the involvement of an expert in modelling techniques and data science who is in charge of understanding the complex processes from reality that are being modelled, and of analysing and interpreting the data used by the component.";Medium
24;"● Appropriate procedures must have been defined in order to identify and remove, or at least limit, any bias in the data used to train the relevant model.";High
24;"● It must have been verified that in training data used as input for the relevant model there are no previous historical biases and, if they are, a different and bias-free data source has been chosen or training data have undergone appropriate cleaning and scrubbing so that are suitable for use.";High
24;"● Human supervision mechanisms must have been implemented in order to control and ensure that results are bias-free.";High
24;"● The implemented mechanisms must enable data subjects to request human intervention, provide feedback or challenge the results obtained by means of automated decision-making algorithms.";High
22;"● Previously, used data must have been classified into categories, organizing them in non personal and personal data, and, for the latter, identifying which fields constitute identifiers, quasi-identifiers and special data categories.";High
22;"● The relevant variables for the model must have been determined, identifying the variables associated with special data categories and proxy variables, including the necessary information for their interpretation.";High
25;"● The testing plan must include reviews and, when appropriate, inspections for the purposes of early identification and remedy of defects in requirements or design, incorrect specifications or deviations from applicable criteria during development.";High
25;"● White-box testing of the network design or the AI component must be considered as part of the testing plan";High
25;"● White-box testing at code and implementation levels must be considered as part of the testing plan.";High
25;"● Black-box testing as required must be considered as part of the testing plan in order to ensure that functionality of AI-based component is guaranteed, that such component behaves as expected and that information integrity is preserved.";High
25;"● The validation test plan must include verification of boundary values and extreme test cases which may make the component to function in an unexpected manner.";High
26;"● Both the relevant parameters and their cut-off values must be determined so that the model considers certain variables in order to obtain significant results.";Medium
26;"● There must be procedures to detect whether the response of the AI-based component to input data is erroneous or exceeds a predetermined error threshold, or whether there are different error thresholds associated with different categories of data subjects in the data set.";High
27;"● A threshold must have been established in order to determine when an obtained result deviates from the expected result based on identical or similar data inputs (significant deviations).";High
27;"● It must have been determined whether the AI-based component behaves differently when processing data from individuals who differ in their personal characteristic associated to special data categories or in the values of the proxy variables.";High
27;"● Within the possible or actual context of function of the relevant component, the factors whose variation may impact the properties of the AI component and may establish the need to manage its readjustment must be identified.";High
27;"● The behaviour of the AI component in unexpected environments or use cases must be assessed.";High
27;"● A time estimation in which a reassessment, readjustment or reboot of the component in order to have it adjusted to input data deviation or changes in decision-making criteria is required must have been carried out.";High
