page;text;confidence
11;"an assessment must be carried out in order to determine the potential risk of reidentification";high
11;"evidence must be provided that the removal or anonymisation of such data is truly effective";high
12;"Both the AI model including in a processing and the processing itself must have the purpose of providing a response to a real need of the entity and the industry";medium;definition
14;"Before stating that in further stages there is no personal data processing activities and, as a consequence, at least that processing stage is not subject to the obligations provided by the GDPR, evidence must be provided that the removal or anonymisation of such data is truly effective, and an assessment must be carried out in order to determine the potential risk of reidentification";high
14;"If an AI processes personal data, conducts profiling on natural persons or makes decisions regarding such natural persons, their activities shall be subject to the provisions lay down by the GDPR";medium;definition
14-15;"Any technical solution which does not provide a certified answer to those issues cannot be considered a mature technology, but merely a technology without the ability to comply with basic requirements of accountability, transparency and legality";high
14-15;"With regard to their capacity to comply with processing requirements, all technical solutions share certain parameters which must be specified, such as: Accuracy, precision or error rates required by the relevant processing, Data input quality requirements to the AI component, Precision, accuracy or effective error rates of the AI-based solution depending on the appropriate metrics to measure the eligibility of such AI-based solution, Convergence of the model when training or evolve the IA-solution, Consistency in the results of the inference process, Algorithm predictability";high
15;"The GDPR is developed around six principles: 1. Lawfulness, fairness and transparency 2. Purpose limitation (purpose specification) 3. Data minimisation 4. Accuracy 5. Storage limitation 6. Integrity and confidentiality";medium;definition
15;"Chapter III establishes the rights to which data subjects are entitled, as well as the obligation to guarantee such rights and implement effective mechanisms to exercise such rights, especially the rights to transparency, information, access, rectification, erasure, limitation, opposition, portability, and the rights of citizens with regard to automated decision-making";high
15;"Chapter IV establishes the model of responsibility and compliance based on accountability, and whose governing elements are: Identification of an element of responsibility in processing, Risk analysis with regard to rights and freedoms, Assessment of necessity and proportionality of processing activities considering their goal, Deployment of risk management measures, privacy by default and design privacy measures, security measures, incident management, etc.";high
16;"One of the key aspects of the GDPR, which is central to determine whether accountability and transparency policies have been correctly implemented, is to duly identify the different roles and responsibilities within the processing";high
18;"The controller-processor model may become more complicated when, for example, blockchain-type cooperative networks incorporating AI models could appear";low;definition
18;"The controller is obliged to act with due diligence when selecting the most correct solution, particularly when outsourcing or acquiring the relevant development; they shall require and assess any quality specifications of the relevant solution, establish the scope of the processing and take the burden of facing the consequences of their decisions";high
18;"The person in charge of conducting the processing shall be the person responsible, and they may not claim that they lacked information or technical knowledge to elude their responsibility to audit and decide whether a system is eligible";high
18;"Transferring the responsibility to the AI system itself is not acceptable in any case";high
19;"There is a minimum set of terms and conditions that need to be fulfilled in order to guarantee that the processing is compliant, including: Grounds for a legitimate personal data processing, Obligation to inform data subjects and to be transparent in this respect, Obligation to provide data subjects with mechanisms to exercise their rights, Application of the principle of accountability, Compliance with all terms and conditions to carry out international data transfers";high
19;"If no legitimate grounds can be found to proceed with the processing, such processing cannot be carried out";high
19-20;"Having legal grounds to process data does not authorise to process such data for any purpose and at any time whatsoever. Contrary to that, the relevant processing must be limited to those express, specific and limited purposes that have been identified, and an effort shall be made to avoid any processing which is incompatible to such purposes";high
20;"If the data controller uses third party data sets for training an AI component, it must act with due diligence for verifying that the original data source is legitimate, including the purchase or service agreement, or the corresponding contractual clauses that claim evidences and commitments of such legitimacy";high
