question;page;text
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;6;Implement executive and legislative actions to mandate developers of AI systems to provide access for auditing via independent regulatory agencies, such as the Federal Trade Commission (FTC), or third-party organizations.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to secure design, secure development, secure deployment, secure operation, secure configuration, and secure maintenance.;6;Implement bias and safety bug-bounty programs, allowing individuals to report algorithmic bias or security vulnerabilities to an organization and receive rewards or compensation, for AI systems to increase incentives for broader scrutiny of AI systems.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;2;Ensuring AI-powered biometric systems are developed and deployed in a manner that supports fundamental democratic values with respect to the rule of law, basic civil liberties, and universal human rights
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;Update antitrust and civil rights regulations and enhance rule-of-law practice to compel the private sector to adopt a democracy-supporting and individual-rights-protecting vision of AI science and technology.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;Increase investment and fund academic research or public-private partnerships in AI-powered biometric innovations infused with democratic values.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;Support norm-setting efforts on AI-powered biometric technologies at the international level to support human rights and rule of law.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to safe and secure use, develop, and provision of a system and an AI system.;3;Coordinate with other democratic countries and global civil society organizations to promote democratic values in AI and place export controls and human rights sanctions with its allies to deny authoritarian regimes resources used to develop mass surveillance technologies.
List in detail every action, recommendation, best practice, guidelines and norm related to defend, protect, and monitor the system and AI system, and how to handle logs.;6;Develop audit trail requirements and documentation of AI-powered biometric systems that cover all steps of the AI development process, which could include model architecture, training data, records of exhibited bias and previous predictions, etc.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the users, to maintain them safe and to protect their privacy.;5;Identify fairness considerations and approaches up-front, and involve multi-stakeholders, such as experts in the relevant domain and across disciplines, in the conversation.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the users, to maintain them safe and to protect their privacy.;5;Explore a legally viable path for algorithmic fairness under current constitutional doctrines.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the users, to maintain them safe and to protect their privacy.;5;Develop testing and monitoring mechanisms to detect and mitigate fairness-related harms.
List every action, recommendation, best practice, guidelines, tip, and norm related to the users and stakeholders rights, how to allow them to exercise their rights, and what they have to be communicated about.;6;Require private companies to provide a right to explanation of decisions made by automated or AI systems.
List every action, recommendation, best practice, guidelines, tip, and norm related to the users and stakeholders rights, how to allow them to exercise their rights, and what they have to be communicated about.;7;Mandate federal and local governments to consult representatives from community and civil society organizations when developing rules and regulations related to AI.
List every action, recommendation, best practice, guidelines, tip, and norm related to the users and stakeholders rights, how to allow them to exercise their rights, and what they have to be communicated about.;7;Require private companies to conduct stakeholder consultations with civil societies and seek out their guidance during the development of AI technologies to augment human capabilities and ensure the inclusion of diverse developers of AI systems, representative datasets, and nondiscriminatory practices.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the law, legislation, regulations, standardization, rules compliance, and context.;3;Update antitrust and civil rights regulations and enhance rule-of-law practice to compel the private sector to adopt a democracy-supporting and individual-rights-protecting vision of AI science and technology.
List every action, recommendation, best practice, guidelines, tip, norm and standard related to the law, legislation, regulations, standardization, rules compliance, and context.;3;Support norm-setting efforts on AI-powered biometric technologies at the international level to support human rights and rule of law.
