Page of the document;text
2;The providers of algorithmic recommendation services shall persist in being oriented towards mainstream values, optimize mechanisms for algorithmic recommendation services, actively transmit positive energy, and promote the uplifting use of algorithms.
2;The providers of algorithmic recommendation services must not use algorithmic recommendation services to engage in activities that are prohibited by laws and administrative regulations, such as those that endanger national security or the societal public interest, disrupt economic and social order, or harm the lawful rights and interests of others; must not use algorithmic recommendation services to transmit information that is prohibited by laws and administrative regulations; and shall employ measures to prevent and stop the transmission of negative information.
2;The providers of algorithmic recommendation services shall implement entity responsibility for algorithm security, establish and complete management systems and technical measures such as for checking algorithm mechanisms, technology ethics reviews, user registration, checking published information, data security, personal information protections, countering telecommunication network fraud, security assessments and monitoring, and emergency response and handling of security incidents; and draft and disclose the rules for algorithmic recommendation services, alloting professional staff and technical support corresponding to the scale of algorithmic recommendation services.
2;The providers of algorithmic recommendation services shall periodically check, assess, and verify algorithm mechanisms, models, data, and outcomes, and must not set up algorithmic models that violate laws and regulations, or go against ethics and morals, such as by inducing users to become addicted or spend too much.
2-3;The providers of algorithmic recommendation services shall strengthen the management of information security, establishing and completing a pool of characteristics used to identify illegal and negative content, and improve standards, rules, and procedures for inclusion in the pool. Where it is discovered that algorithmically generated or synthesized information is not conspicuously labeled, transmission may continue only after making a conspicuous label.
3;Where unlawful information is discovered, transmission shall be immediately stopped, and measures shall be employed to eliminate it or otherwise address it, stop the spread of the information, store relevant records, and report to the internet information departments and relevant departments. Where negative information is discovered, it shall be addressed in accordance with the relevant provisions on the management of the internet information content ecology.
3;The providers of algorithmic recommendation services shall strengthen the management of user modeling and user tags, improving rules for recording the interests of user models and rules for managing user tags; keywords that are unlawful or negative information must not be used as recorded user interests or user tags used to push information.
3;The providers of algorithm recommendation services shall strengthen the ecological management of algorithm recommendation service pages, establish and improve mechanisms for manual intervention and users' independent selections, and actively present information that comports with mainstream value orientations in key steps such as the homepage, home screen, hot searches, selections, top content lists, and pop-up windows.
3;The providers of algorithmic recommendation services are encouraged to comprehensively use strategies such as for eliminating duplicate content and for fragmentation and intervention, and optimize the transparency and explainability of rules for searches, sorting, selections, pushing, and displays, to avoid producing a negative impact on users, and to prevent and reduce contention and disputes.
3;Where the providers of algorithmic recommendation services provide Internet news information services, they shall obtain Internet news information service permits in accordance with law, regulate the carrying out Internet news information collection and publication services, forwarding services, and transmission platform services, and must not generate or synthesize fake news information or transmit news information from units that are not within the scope provided by the state.
3-4;The providers of algorithmic recommendation services must not use algorithms to register fake accounts, illegal trade accounts, manipulate user accounts, or give false likes, comments, or forwards; and must not use algorithms to interfere with information presentation such as by blocking information, making excessive reccomendations, manipulating the order of top content lists or search results, or controlling hot searches or selections, inuencing online public opinion or evading oversight and management.
4;The providers of algorithmic recommendation services must not use algorithms to unreasonably restrict other internet information service providers, or to obstruct and undermine the normal operation of the internet information services the lawfully provide, implementing a monopoly or unfair competition.
