text_extract;highlight_color
"Under the leadership of top management and with due consideration for trade secrets, companies that develop and operate AI systems and those that provide data should clarify and actively share AI system operational issues that the company or department is unable to fully address on their own and the information necessary to address these issues";green
"We ask our customers to monitor the AI system's output and we also provide instructions on how to determine if there has been any deterioration in quality";green
"We need to take our time to explain and get customers to understand reasons why the AI systems need maintenance, causes that make maintenance necessary";green
"After the AI system is re-trained, the developer should give a detailed explanation on how its outputs have changed after re-training to the customers";green
"In addition to providing explanations on the data used for training, etc., as well as overviews of the models used and explanations on accuracy and other performance parameters, we also explain, to AI system operators who intend to provide the AI system to AI system users, the situations and targets that the AI system should not apply";green
"In order to improve users' confidence in AI systems, we believe it is important for us to reduce the burden on users as much as possible by devising ways to prevent problems from occurring, and by responding promptly when problems do occur";green
"Because of the so-called black-box aspect of AI, it tends to be difficult to find out who is responsible. In order to prevent incidents, it is important to allocate responsibilities to those who are able to mitigate negative impacts";green
"It is also important to improve our ability to respond early to incidents by preparing for possible incidents";green
"Measures to address such uncertainties include approaches aimed at reducing uncertainties in the AI system development stage, including preparing appropriate data sets, selecting appropriate models, and conducting verification and testing before the AI system is put into operation";green
"And equally important are approaches that aim to control uncertainties through measures during the operation of AI systems, including the monitoring of AI system operations";green
"In cases where an AI system is developed and operated by different parties, in principle, the parties should appropriately allocate burdens of addressing uncertainties associated with the provision of AI in contract and etc., taking into account options that are realistically available to each party";green
"No matter who is held legally liable ultimately, since we came to recognize that if a user asked us for explanations about AI systems that we operate, we would not be exempt from all of the responsibilities to respond to these requests, at least as the first responder";green
"We have shifted our policy to one where we do whatever is in an AI system operator's capacity to reduce risk and explain these efforts as necessary with help from AI developers";yellow
"The quality of data to be outsourced before the provision can only be controlled by the outsourcer";yellow
"As part of our readiness for incidents when they occur, we have set up a contact point from outside, assigned an officer in charge of response, and established a contact system within the company, as well as a contact system for external parties and experts";green
"We have set up a communication and coordination system for the risk management, legal, public relations, and crisis management divisions, as well as a contact system for external parties and experts";green
"We strive to regularly update our technical and operational mechanisms that are designed to reduce system risks even in the event of unexpected situations";green
"We asked the developer to provide a way of automatically logging the inputs and outputs that significantly impact performance, and teach us how to perform the monitoring";green
"Companies should appropriately make information disclosure in compliance with the relevant laws and regulations, but should also strive to actively provide information beyond that required by law";green
"The board should recognize that disclosed information will serve as the basis for constructive dialogue with shareholders, and therefore ensure that such information, particularly non-financial information, is accurate, clear and useful";green
"The disclosure of information on risk assessments and actions associated with AI system development and operation may also be expected in some cases as part of such non-financial information";yellow
"We have a company-wide BCP (Business Continuity Plan) in place. Because we may encounter business continuity issues if any of the AI systems we run shuts down, we decided to include AI incidents as one of triggers of BCP";green
"We regularly perform analyses of conditions and risks, and report to management even during normal times where we do not see any near misses or a significant increase in public attention to specific incidents, or changes in the regulatory environment";green
"It is important for AI system operators to understand the capabilities and limitations of AI systems through dialogue with AI system developers, and excessive reliance on automatic monitoring and other such tools should be avoided";green
"We believe that AI system development is not merely a technological activity, but one that must be founded on in-depth understanding of our society";yellow
"Our potential customers and users of our AI systems see AI systems as a sociotechnical tool rather than a technical tool";red
