page_text_First proposal_Second proposal_Third proposal_labels_confidence_definition
EN 44;the prevention of a specific, substantial and imminent threat to the life or physical safety of natural persons or of a terrorist attack_ID.RA-03_ID.RA-05_RS.MI-01__Medium_
EN 44;take into account the following elements: (a) the nature of the situation giving rise to the possible use, in particular the seriousness, probability and scale of the harm caused in the absence of the use of the system_ID.RA-04_ID.RA-05_GV.RM-06__High_
EN 44;take into account the consequences of the use of the system for the rights and freedoms of all persons concerned, in particular the seriousness, probability and scale of those consequences_ID.RA-04_ID.RA-05_GV.OC-03_privacy_High_
EN 44;shall comply with necessary and proportionate safeguards and conditions in relation to the use, in particular as regards the temporal, geographic and personal limitations_PR.AA-05_GV.PO-01_ID.RA-07__High_
EN 44;be subject to a prior authorisation granted by a judicial authority or by an independent administrative authority of the Member State_GV.OC-03_GV.PO-01___High_
EN 46;A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems_GV.RM-01_GV.RM-03___High_
EN 46;The risk management system shall consist of a continuous iterative process run throughout the entire lifecycle of a high-risk AI system, requiring regular systematic updating_GV.RM-02_ID.RA-07___High_definition
EN 47;identification and analysis of the known and foreseeable risks associated with each high-risk AI system_ID.RA-01; ID.RA-03_ID.RA-04___High_
EN 47;estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its intended purpose and under conditions of reasonably foreseeable misuse_ID.RA-04_ID.RA-05___High_
EN 47;evaluation of other possibly arising risks based on the analysis of data gathered from the post-market monitoring system_ID.RA-05_DE.AE-02___High_
EN 47;adoption of suitable risk management measures_GV.RM-04_ID.RA-06___High_
EN 47;elimination or reduction of risks as far as possible through adequate design and development_ID.RA-06_PR.PS-06___High_
EN 47;implementation of adequate mitigation and control measures in relation to risks that cannot be eliminated_RS.MI-01_RS.MI-02___High_
EN 47;provision of adequate information pursuant to Article 13, in particular as regards the risks_RS.CO-02_RS.CO-03_GV.RM-05_transparency_High_
EN 47;due consideration shall be given to the technical knowledge, experience, education, training to be expected by the user and the environment in which the system is intended to be used_PR.AT-01; PR.AT-02_GV.OC-02___High_
EN 47;High-risk AI systems shall be tested for the purposes of identifying the most appropriate risk management measures_PR.PS-06_ID.IM-02___High_
EN 47;Testing shall ensure that high-risk AI systems perform consistently for their intended purpose and they are in compliance with the requirements_PR.PS-06_ID.IM-02_GV.OC-03__High_
EN 47;Testing procedures shall be suitable to achieve the intended purpose of the AI system and do not need to go beyond what is necessary to achieve that purpose_PR.PS-06_ID.IM-02___Medium_
EN 47;testing of the high-risk AI systems shall be performed, as appropriate, at any point in time throughout the development process, and, in any event, prior to the placing on the market or the putting into service_PR.PS-06_ID.IM-02_ID.AM-08__High_
EN 47;Testing shall be made against preliminarily defined metrics and probabilistic thresholds that are appropriate to the intended purpose of the high-risk AI system_PR.PS-06_ID.IM-02_GV.RM-06__High_
EN 48;specific consideration shall be given to whether the high-risk AI system is likely to be accessed by or have an impact on children_ID.RA-04_GV.OC-02___High_
EN 48;High-risk AI systems which make use of techniques involving the training of models with data shall be developed on the basis of training, validation and testing data sets that meet the quality criteria_PR.DS-01_ID.AM-07_PR.PS-06_data protection_High_
EN 48;data governance and management practices shall concern in particular: (a) the relevant design choices; (b) data collection; (c) relevant data preparation processing operations, such as annotation, labelling, cleaning, enrichment and aggregation_PR.DS-01_ID.AM-07_GV.PO-01_data protection_High_
EN 48;the formulation of relevant assumptions, notably with respect to the information that the data are supposed to measure and represent_ID.RA-04_PR.DS-01___Medium_
EN 48;a prior assessment of the availability, quantity and suitability of the data sets that are needed_PR.DS-01_ID.AM-07___High_
EN 48;examination in view of possible biases_ID.RA-01_PR.DS-01_PR.PS-06__High_
EN 48;the identification of any possible data gaps or shortcomings, and how those gaps and shortcomings can be addressed_ID.RA-01_PR.DS-01_ID.IM-01__High_
EN 48;Training, validation and testing data sets shall be relevant, representative, free of errors and complete_PR.DS-01_ID.AM-07_PR.PS-06_data protection_High_
EN 48;Training, validation and testing data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, behavioural or functional setting_PR.DS-01_ID.AM-07_GV.OC-02_data protection_High_
EN 48;process special categories of personal data subject to appropriate safeguards for the fundamental rights and freedoms of natural persons, including technical limitations on the re-use and use of state-of-the-art security and privacy-preserving measures, such as pseudonymisation, or encryption where anonymisation may significantly affect the purpose pursued_PR.DS-01; PR.DS-02_PR.AA-05_GV.OC-03_privacy; data protection_High_
EN 49;The technical documentation shall be drawn up before that system is placed on the market or put into service and shall be kept up-to date_ID.AM-08_GV.PO-01___High_
EN 49;High-risk AI systems shall be designed and developed in such a way to ensure that their operation is sufficiently transparent to enable users to interpret the system's output and use it appropriately_PR.PS-06_GV.OC-02_GV.PO-01_transparency_High_
EN 49;High-risk AI systems shall be accompanied by instructions for use in an appropriate digital format or otherwise that include concise, complete, correct and clear information that is relevant, accessible and comprehensible to users_GV.OC-02_PR.AT-01_RS.CO-02_transparency_High_
EN 49;the identity and the contact details of the provider and, where applicable, of its authorised representative_GV.RR-02_GV.SC-02___Medium_
EN 49;the level of accuracy, robustness and cybersecurity referred to in Article 15 against which the high-risk AI system has been tested and validated and which can be expected_PR.PS-06_ID.RA-09_DE.CM-09_transparency_High_
EN 49;any known or foreseeable circumstance, related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, which may lead to risks to the health and safety or fundamental rights_ID.RA-03_ID.RA-04_RS.CO-02_transparency_High_
EN 49;its performance as regards the persons or groups of persons on which the system is intended to be used_ID.RA-04_GV.OC-02___Medium_
