"Page of the document;text"
21;It must be taking into accout that to ground the lawfulness of a processing in a legitimate interest requires from the organization acting as a controller a higher degree of commitment, formality and competence. It requires a careful assessment that their legitimate interests prevail over the possible impact on the rights, freedoms and interests of the data subjects, considering, among other things, eventual compensatory measures arising from the need to keep the processing activities continuously supervised, implement a high degree of accountability and stricter design default privacy measures or the adoption of best practices such as giving an opt-out option to data subjects
21;If the processing activities are based on the legitimate interest, it is not necessary to collect the consent of the data subject, but information obligations provided by articles 13 and 14 of the GDPR persist.
22;The first layer should include: • The identity of the of the data controller or their representative. • The purpose of the processing. • The possibility of exerting the rights included in articles 15 to 22 of the GDPR. • If the processing involves profiling or automated decisions: • This circumstance must be clearly disclosed. • Informing of their right to oppose making any automated individual decisions pursuant to article 22 of the GDPR. • Relevant information on the implemented logic. • Relevance and foreseen consequences of the relevant processing for the data subject.
23;Complying with this obligation by making a technical reference to the algorithm implementation may be obscure, confuse or excessive and leading to information fatigue. However, sufficient information must be provided to understand the behaviour of the relevant processing. Although it shall depend on the type of AI component used, an example of the type of information which may be relevant for the data subject would be: • Detailed information about the subject's data used for decision-making regardless of the category, especially regarding with how old the subject's data under processing are. • The relative importance or weight of each data category in the decision making. • The quality of training data and the type of patterns used. • Profiling activities conducted and their implications. • Error or precision values, according to the appropriate metrics used to measure the eligibility of the inference. • Whether qualified human supervision is involved or not. • Any reference to audits, especially on the possible deviation of inference results, as well as certification or certifications performed on the AI system. For adaptive systems or evolutive systems, the last audit conducted. • If the AI system includes information referring to identifiable third-data subjects, prohibition of processing such information without legitimisation and of the consequences of doing so.
23;Any data controllers that use AI-based solutions to process personal data, conduct profiling or make automated decisions must be aware that the data subject have rights related to the protection of their personal data which must be attended to.
24;The right of access must be executed by the controller of each life cycle stage of the AI-based solution involving personal data. This includes any training data which may be included in the AI components and which are susceptible to be retrieved by the controller who operates the relevant AI-based solution.
24;The right to erasure involves a proactive attitude by the data controller in order to, as established by Whereas 39, guarantee that data are erased when they are no longer necessary for the purpose of the processing, and, particularly, for including procedures for the period review of the relevant datasets, and terms for its erasure.
24;Data collected for the training stage, in compliance with the aspects set forth by article 11 of the GDPR and with the principle of data minimisation, must be cleansed or sanitized from all information which is not strictly necessary to train the model.
24;Once the training stage of an AI system is completed, the organization must execute its removal unless they are needed for the system fine-tuning or assessment, or they are used for other purposes which are compatible with the original purposes as per the provisions of article 6.4 of the GDPR. In any case, the data minimisation principles must be considered.
25;Particularly, when the AI-based solution is released to controllers and natural persons, if this includes data from data subjects: • They must be either erased, or to assess that it is partially or entirely impossible because it would impair the systems, • The relevant legal grounds to disclose data to a third party must be established, especially when data of special categories are included, • The data subjects must be informed (as stated above), • Proof must be offered that the relevant privacy by default and by design measures have been implemented (most specifically, data minimization) and, • Depending on the risk involved for data subjects and the volume or categories of data, to carry out a privacy impact assessment.
