Page of the document;Text
31;"During training, if personal data are used, the data subject must be clearly informed on the possibility that such data be reidentifiable from the data of a model, or, as established in Article 11.2 of the GDPR, that such reidentification not be possible."
31;"Certification schemes may cover several aspects regarding the use of AI and be tools to prove carefulness, the GDPR establishes in Article 42 the possibility to develop specific certification mechanisms in terms of data protection, seals and marks of data protection as tools to prove compliance with the GDPR, as explained in Recital 100, to increase the transparency of personal data processing."
32;"The data controllers must provide sufficient information to the data subjects with regard to the processing they are being subject to, as well as information on the mechanisms enabling a request of a human intervention in the assessment or questioning of the decision adopted by the system automatically, notwithstanding the provisions in Articles 13 and 14 of the GDPR and which have been described in the section "Information" of this document."
32;"Data controllers adopting this type of solutions and systems must provide precise information and specific training to their personnel on the limitations of the AI system."
32;"Whenever the processing is a tool that helps in decision-making, it is necessary to adopt measures to manage the risk that the humans behave like a mere link to the inferences made by the AI solution. Such measures include information on the operator (as indicated above), training and behaviour audits."
32;"Errors on interpretability by the operators must be prevented. The inferred values must be presented in such a way that they reflect the reality of the inference and its limits. Such information must be given to the subsequent phases of the processing, carried out by humans or automatic. At the time to operate the system, it is necessary to offer real-time information to the operator on the accuracy values and/or quality values of the information inferred at each time. Furthermore, when the information inferred does not reach the minimum quality thresholds, it must be explicitly noticed that such information is not valid or that it has no value"
32;"In the event that the solutions are released by a third party, the latter must provide sufficient information to the controller so that the controller may manage such risks as well as information on the best way to proceed in this regard."
33;"The controller must take into account that, even if such users may be a minority, alternative mechanisms must be put into place in order to avoid exclusion of a subject on the grounds that the AI solution is unable of capturing the biometric characteristics of the data subjects"
35;"The tests of the AI component guarantee that the design and development results comply with the requirements of the component. The scope of the validation of the processing extends even further. It should garantee that the resulting products and services meet the requirements regarding a specific application or envisaged use"
35;"The validation of the processing including an AI component must be performed under conditions reflecting the real context where the processing is expected to be deployed"
35;"The validation process requires a periodic review, taking into account that such context or the processing itself could change and evolve."
36;"Pursuant to Recital 59, personal data must only be processed if the purpose of the processing may not reasonably be fulfilled by other means."
36;"The data subjects, the data categories, and the retention period of the data that may be processed are linked to the legal grounds for such processing."
36;"Minimisation is the process of optimising the processing from the point of view of data protection, analysing the needs of the data processing in the different phases of the process and in compliance with the requirements above for the purposes of:

Limiting the extent of the data categories that are used in each phase of the processing to categories that are strictly necessary and relevant.
Limiting the level of detail or precision of the information, the granularity of the collection in terms of time and frequency and the collection date of the information used.
Limiting the extent of the number of data subjects whose data are being processed.
Limiting accessibility to the several data categories to the controller's/ processor's personnel or even to the final user (if there are data pertaining to third parties in the AI models) in all processing phases."

36;"It is necessary to assess how to implement such principles at the time to design the AI solution and the processing, and to describe and analyse the life cycle of the data throughout every phase of the processing. This analysis does not only focus on the AI solution from a technical point of view, but rather on the global processing where such solution is included. It must take into account both automated aspects and non-automated aspects of each and every phase of the processing."
36-37;"In case of ML, it is necessary to balance the need of the data to train the ML systems in regarding the risk for the rights and freedoms of the data subjects. The degree of quality of the training data is not only measured by the mere accumulation of data, but through relevance, actuality, reliability, soundness and use the categories of data that are relevant for the intended processing. In order to apply such proportionality criterion, it is advisable to use professional profiles with expertise on data science, a discipline that goes beyond the specialisation in ML algorithms, but with skills on the principles of data protection, and in cooperation with the specialists in business logic and the data protection officer, if a data protection officer has been appointed"
