Page;Extract;Confidence Level
41;"The controller shall be aware of the obligations and the limits established in the sectorial regulation, for such legal bases do not allow for the processing of personal data contained in the log file for different purposes such as the assessment of the performance or the evolution of the AI system. Therefore, the controller must ensure that guarantees are implemented to avoid access to and use of such record for purposes for which no legal grounds are available.";High
41;"The developers of the AI component whenever they are using ML-based solutions should implement other registers for the purposes of documenting and meeting the principle of accountability to allow a traceability of the origin of the training data and the validation of such data, as well as records of analysis performed on the validity of such data and the results thereof.";High
41;"The use of AI-based solutions sets the controllers and the processor on a position where the processing, by virtue of its characteristics, and, more precisely, by virtue of the technology chosen, may entail a high level or risk. Therefore, an assessment should be made on whether the object of the processing may not be achieved through the use of another type of solution with the same functionality, with an acceptable performance and a lesser risk.";High
41;"That is to say, the availability, or the novelty of a technology does not justify on itself the use of such a technology. Such technology must be subject to consideration, and an analysis must be carried out on whether the type of processing that is being proposed is a balanced solution. It should be assessed that the general interest and the society, as a whole, will get enough advantages and benefices as opposed to the disadvantages.";Medium
41;"THE SELECTION OF THE MOST SUITABLE OPTION TO MANAGE THE RISK MEANS THAT A COMPENSATION NEEDS TO BE OBTAINED OF THE COSTS AND THE EFFORTS OF THE IMPLEMENTATION WITH REGARD TO THE ADVANTAGES THAT ARE BEING OBTAINED WHILE KEEPING INTO ACCOUNT THE LEGAL REQUIREMENTS AS WELL AS THE REGULATION REQUIREMENTS OR OTHERWISE, SUCH AS THE SOCIAL RESPONSIBILITY AND THE PROTECTION OF THE NATURAL BACKGROUND. THE DECISIONS SHALL ALSO BE ADOPTED WITH REGARD TO THE RISKS WHOSE PROCESSING IS NOT JUSTIFIABLE FROM AN ECONOMIC POINT OF VIEW, FOR EXAMPLE, SEVERE (HIGHLY NEGATIVE CONSEQUENCES) BUT RARE (LOW PROBABILITY) RISKS.";High
42;"Whenever we are dealing with personal data protection, the risks to be taken into account are the risks regarding the rights and freedoms of the data subjects. If it is the society who is undertaking such risks, the advantages obtained should not only be assessed from the entity's perspective, but rather from the point of view of the society within the scope were the processing is deployed.";High
42;"More precisely, in the event of processing using AI-based solutions in order to adopt decisions or to help adopt decisions, it is recommended that the PIA carries out a comparative analysis between the performance obtained by a qualified human operator and the output shown by models capable of forecasting scenarios or adopting decisions automatically";High
42;"The audit process on a processing including an AI component may have a different extent: audit on the development process of the component, on the releasing of the model, on specific aspects of the processing, on the operation, the security, the robustness against model attacks, etc.";Medium;definition
42;"As establishes by the principle of accountability, the guarantees established to manage the risk must be documented and collect enough information to enable a satisfactory and verifiable accreditation of the actions taken. Such documentation must enable the traceability of the decisions and verifications made pursuant to the minimisation principles referred above.";High
43;"The existence of a documented process of analysis, development and/or implementation including, as the case may be, the relevant traceability evidence.";High
43;"The existence or absence of personal data, profiling or automated decisions on the data subjects without a human intervention, as well as the analysis of the efficiency of the anonymisation and the pseudonymisation methods.";High
43;"Analysis on the existence and legitimisation of the processing of special categories of data, more precisely with regard to inferred information.";Medium
43;"The legal grounds for the processing and identification of responsibilities.";Medium
43;"The information and the effectiveness of the implemented transparency mechanisms.";Medium
43;"The application of the principle of accountability and risk management for the rights and liberties of the data subjects and, more precisely, if the obligation or the need to carry out PIAs has been assessed and, if such was the case, the results of such PIAs.";High
