Page of the document;Question Category;Text
3;Secure Design/Development/Deployment;□ Can the business detect and neutralize harmful or malicious inputs or queries to LLM solutions?
3;Secure Design/Development/Deployment;□ Can the business safeguard connections with existing systems and databases with secure integrations at all LLM trust boundaries?
3;Secure Design/Development/Deployment;□ Does the business have insider threat mitigation to prevent misuse by authorized users?
3;Secure Design/Development/Deployment;□ Can the business prevent unauthorized access to proprietary models or data to protect Intellectual Property?
3;Secure Design/Development/Deployment;□ Can the business prevent the generation of harmful or inappropriate content with automated content filtering?
3;AI System Safety/Security;□ Catalog existing AI services, tools, and owners. Designate a tag in asset management for specific inventory.
3;AI System Safety/Security;□ Include AI components in the Software Bill of Material (SBOM), a comprehensive list of all the software components, dependencies, and metadata associated with applications.
3;AI System Safety/Security;□ Catalog AI data sources and the sensitivity of the data (protected, confidential, public)
3;AI System Safety/Security;□ Establish if pen testing or red teaming of deployed AI solutions is required to determine the current attack surface risk.
3;AI System Safety/Security;□ Create an AI solution onboarding process.
3;AI System Safety/Security;□ Ensure skilled IT admin staff is available either internally or externally, following SBoM requirements.
4;User Safety and Privacy;□ Actively engage with employees to understand and address concerns with planned LLM initiatives.
4;User Safety and Privacy;□ Establish a culture of open, and transparent communication on the organization's use of predictive or generative AI within the organization process, systems, employee management and support, and customer engagements and how its use is governed, managed, and risks addressed.
4;User Safety and Privacy;□ Train all users on ethics, responsibility, and legal issues such as warranty, license, and copyright.
4;User Safety and Privacy;□ Update security awareness training to include GenAI related threats. Voice cloning and image cloning, as well as in anticipation of increased spear phishing attacks
4;User Safety and Privacy;□ Any adopted GenAI solutions should include training for both DevOps and cybersecurity for the deployment pipeline to ensure AI safety and security assurances.
5;Legal Compliance;□ Establish the organization's AI RACI chart (who is responsible, who is accountable, who should be consulted, and who should be informed)
5;Legal Compliance;□ Document and assign AI risk, risk assessments, and governance responsibility within the organization.
