Page of the document;text;confidence level
2;Deep synthesis service providers shall implement primary responsibility for information security, establishing and completing management systems such as for user registration, review of algorithm mechanisms, scientic ethics reviews, review for information publication, data security, personal information protection, prevention of telecommunication network fraud, and emergency response, and shall have safe and controllable technical safeguard measures.;high
2;Deep synthesis service providers shall draft and disclose management rules and platform covenants, improve service agreements, fulll management responsibilities in accordance with law, and post the security obligations born by deep synthesis services' technical supporters and users in a conspicuous manner.;medium
2;Deep synthesis service providers shall verify the real identity information of the users of the deep synthesis services in accordance with law through means such as mobile telephone numbers, identication card numbers, uniform social credit codes, or the state's public online identity verication service, and must not provide information publication services to deep synthesis service users that have not had real name information verication.;medium
2;Deep synthesis service providers shall strengthen the management of deep synthesis content and employ technical measures or manual methods to conduct reviews of the data inputted by users and synthesis outcomes.;medium
2-3;Deep synthesis service providers shall establish and complete a pool of characteristics used to identify illegal and negative content, and improve standards, rules, and procedures for inclusion in the pool, and record and store related network logs.;medium
3;Where deep synthesis service providers discover illegal or negative information, they shall employ measures to address it in accordance with law, store related records, and promptly make a report to the telecommunications department or relevant departments in charge; and take measures in accordance with laws and agreements against the related deep synthesis service users, such as giving warnings, restricted functions, service suspensions, and account closures.;medium
3;Deep synthesis service providers shall establish and complete mechanisms for dispelling rumors, and where it is discovered that deep synthesis information services were used to produce, reproduce, publish, or transmit false information, they shall promptly employ measures to dispel the rumors, store related records, and make a report to the internet information departments and relevant departments in charge.;medium
3;Deep synthesis service providers shall set up convenient portals for user appeals, public complaints, and reports, and shall publish the process for handling them and the time limits for responses, promptly accepting and handling them, and giving feedback on the outcome.;medium
3;Internet application stores and other application distribution platforms shall implement safety management responsibility such as for pre-offering reviews, routine management, and emergency response, check deep synthesis services' security assessments, lings, and other such situations; and where relevant state provisions are violated, they shall promptly employ measures to address it such as not making it available on the market, warnings, suspending services, or taking it off the market.;high
3;Deep synthesis service providers and technical supporters shall strengthen the management of training data, employ necessary measures to ensure the security of training data, and where training data includes personal information, they shall comply with relevant provisions on the protection of personal information.;high
3-4;Where deep synthesis service providers and technical supports provide functions for editing biometric information such as faces and voices, they shall prompt the users of the deep synthesis service to notify the individuals whose personal information is being edited and obtain their independent consent in accordance with law.;medium
4;Deep synthesis service providers and technical supporters shall strengthen technical management, periodically reviewing, assessing, and verifying algorithmic mechanisms that produce synthesis.;high
4;Where deep synthesis service providers and technical supporters provide tools that have the following functional models or frameworks, they shall carry out security assessments either on their own or by entrusting a professional body: (1) Generating or editing biometric information such as faces or voices; (2) Generating or editing special items, scenarios, or other non-biometric information that might involve national security, the nation's image, national interests, and the societal public interest.;high
4;Deep synthesis service providers shall employ technical measures to attach symbols to information content produced or edited by their services' users that do not impact users' usage, and store log information in accordance with laws, administrative regulations, and relevant state provisions.;medium
